Artist 1,Artist 2,Number of Collaborations,Track Names
Sebastian Comberti,Miriam Keogh,17,"Ave Maria, CG 89: Ave Maria - Arranged for Cello and Harp by Miriam Keogh; Chanson Indoue - Arranged for Cello and Harp by Miriam Keogh; La Cinquantaine - Arranged for Cello and Harp by Miriam Keogh; Elegie, Op.10, No.5 - Arranged for Cello and Harp by Miriam Keogh; Humoresque, Op, 101: No. 7 - Arranged for Cello and Harp by Miriam Keogh; Thais: Meditation - Arranged for Cello and Harp by Miriam Keogh; Waltzes, Op. 34: No. 2 in A-Minor - Arranged for Cello and Harp by Miriam Keogh; Lieder: D. 839: Ave Maria - Arranged for Cello and Harp by Miriam Keogh; Serenade - Arranged for Cello and Harp by Miriam Keogh; 3 Songs, Op. 7: No. 1 “Apres un Reve” - Arranged for Cello and Harp by Miriam Keogh; Carnival of the Animals: The Swan - Arranged for Cello and Harp by Miriam Keogh; Mazurkas, Op. 67: No. 3 - Arranged for Cello and Harp by Miriam Keogh; Cantata BWV 156: Arioso - Arranged for Cello and Harp by Miriam Keogh; Lieder: Ständchen D. 889 - Arranged for Cello and Harp by Miriam Keogh; Impression Reverie - Arranged for Cello and Harp by Miriam Keogh; Romance, Op. 69 - Arranged for Cello and Harp by Miriam Keogh; Elegia, Op. 22"
Sebastian Comberti,None,17,"Ave Maria, CG 89: Ave Maria - Arranged for Cello and Harp by Miriam Keogh; Chanson Indoue - Arranged for Cello and Harp by Miriam Keogh; La Cinquantaine - Arranged for Cello and Harp by Miriam Keogh; Elegie, Op.10, No.5 - Arranged for Cello and Harp by Miriam Keogh; Humoresque, Op, 101: No. 7 - Arranged for Cello and Harp by Miriam Keogh; Thais: Meditation - Arranged for Cello and Harp by Miriam Keogh; Waltzes, Op. 34: No. 2 in A-Minor - Arranged for Cello and Harp by Miriam Keogh; Lieder: D. 839: Ave Maria - Arranged for Cello and Harp by Miriam Keogh; Serenade - Arranged for Cello and Harp by Miriam Keogh; 3 Songs, Op. 7: No. 1 “Apres un Reve” - Arranged for Cello and Harp by Miriam Keogh; Carnival of the Animals: The Swan - Arranged for Cello and Harp by Miriam Keogh; Mazurkas, Op. 67: No. 3 - Arranged for Cello and Harp by Miriam Keogh; Cantata BWV 156: Arioso - Arranged for Cello and Harp by Miriam Keogh; Lieder: Ständchen D. 889 - Arranged for Cello and Harp by Miriam Keogh; Impression Reverie - Arranged for Cello and Harp by Miriam Keogh; Romance, Op. 69 - Arranged for Cello and Harp by Miriam Keogh; Elegia, Op. 22"
Sebastian Comberti,Frédéric Chopin,2,"Waltzes, Op. 34: No. 2 in A-Minor - Arranged for Cello and Harp by Miriam Keogh; Mazurkas, Op. 67: No. 3 - Arranged for Cello and Harp by Miriam Keogh"
DJ Candlestick,Quavo,1,Had Enough (feat. Quavo & Offset) - CHOPNOTSLOP REMIX
DJ Candlestick,Travis Scott,5,Raindrops (Insane) [with Travis Scott] - ChoppedNotSlopped; Trance (with Travis Scott & Young Thug) - ChoppedNotSlopped; Niagara Falls (Foot or 2) [with Travis Scott & 21 Savage] - ChoppedNotSlopped; Lock On Me (with Travis Scott & Future) - ChoppedNotSlopped; Euphoria (feat. Travis Scott & Kaash Paige) - CHOPNOTSLOP REMIX
DJ Candlestick,Metro Boomin,15,On Time (with John Legend) - ChoppedNotSlopped; Superhero (Heroes & Villains) [with Future & Chris Brown] - ChoppedNotSlopped; Raindrops (Insane) [with Travis Scott] - ChoppedNotSlopped; Umbrella (with 21 Savage & Young Nudy) - ChoppedNotSlopped; All The Money (with Gunna) - Bonus - ChoppedNotSlopped; Around Me (feat. Don Toliver) - ChoppedNotSlopped; Metro Spider (with Young Thug) - ChoppedNotSlopped; I Can't Save You (Interlude) [with Future & feat. Don Toliver] - ChoppedNotSlopped; Walk Em Down (Don't Kill Civilians) [with 21 Savage & feat. Mustafa] - ChoppedNotSlopped; Too Many Nights (feat. Don Toliver & with Future) - ChoppedNotSlopped; Trance (with Travis Scott & Young Thug) - ChoppedNotSlopped; Feel The Fiyaaaah (with A$AP Rocky & feat. Takeoff) - ChoppedNotSlopped; Niagara Falls (Foot or 2) [with Travis Scott & 21 Savage] - ChoppedNotSlopped; Lock On Me (with Travis Scott & Future) - ChoppedNotSlopped; Creepin' (with The Weeknd & 21 Savage) - ChoppedNotSlopped
DJ Candlestick,A$AP Rocky,2,OUTSIDE ALL NIGHT FEAT. A$AP ROCKY & N3WYRKLA (CHOPNOTSLOP REMIX); Feel The Fiyaaaah (with A$AP Rocky & feat. Takeoff) - ChoppedNotSlopped
DJ Candlestick,FELIX!,1,UPSET FEAT. TOMMY RICHMAN & FELIX! (CHOPNOTSLOP REMIX)
DJ Candlestick,Future,4,Superhero (Heroes & Villains) [with Future & Chris Brown] - ChoppedNotSlopped; I Can't Save You (Interlude) [with Future & feat. Don Toliver] - ChoppedNotSlopped; Too Many Nights (feat. Don Toliver & with Future) - ChoppedNotSlopped; Lock On Me (with Travis Scott & Future) - ChoppedNotSlopped
DJ Candlestick,21 Savage,4,Umbrella (with 21 Savage & Young Nudy) - ChoppedNotSlopped; Walk Em Down (Don't Kill Civilians) [with 21 Savage & feat. Mustafa] - ChoppedNotSlopped; Niagara Falls (Foot or 2) [with Travis Scott & 21 Savage] - ChoppedNotSlopped; Creepin' (with The Weeknd & 21 Savage) - ChoppedNotSlopped
DJ Candlestick,Tommy Richman,1,UPSET FEAT. TOMMY RICHMAN & FELIX! (CHOPNOTSLOP REMIX)
DJ Candlestick,The Weeknd,1,Creepin' (with The Weeknd & 21 Savage) - ChoppedNotSlopped
DJ Candlestick,Rich The Kid,1,Dat Way - Chopped Not Slopped
DJ Candlestick,Kendrick Lamar,1,Walk On By - Chopnotslop Remix
DJ Candlestick,Gunna,1,All The Money (with Gunna) - Bonus - ChoppedNotSlopped
DJ Candlestick,Drake,1,WASTING TIME (FEAT. DRAKE & THE NEPTUNES) (CHOPNOTSLOP REMIX)
DJ Candlestick,Brent Faiyaz,41,PURPLE WASTELAND INTRO (CHOPNOTSLOP REMIX); JACKIE BROWN (CHOPNOTSLOP REMIX); DEAD MAN WALKING (CHOPNOTSLOP REMIX); ALL MINE (CHOPNOTSLOP REMIX); FYTB (FEAT. JOONY) (CHOPNOTSLOP REMIX); ROLLING STONE (CHOPNOTSLOP REMIX); PRICE OF FAME (CHOPNOTSLOP REMIX); HEAL YOUR HEART INTERLUDE (CHOPNOTSLOP REMIX); GRAVITY (FEAT. TYLER THE CREATOR) (CHOPNOTSLOP REMIX); LOOSE CHANGE (CHOPNOTSLOP REMIX); WASTING TIME (FEAT. DRAKE & THE NEPTUNES) (CHOPNOTSLOP REMIX); GHETTO GATSBY (FEAT. ALICIA KEYS) (CHOPNOTSLOP REMIX); ADDICTION (FEAT. Tre' Amani) (CHOPNOTSLOP REMIX); BAD LUCK (CHOPNOTSLOP REMIX); ROLE MODEL (CHOPNOTSLOP REMIX); ANGEL (CHOPNOTSLOP REMIX); VILLAIN'S THEME (CHOPNOTSLOP REMIX); TIM'S INTRO (CHOPNOTSLOP REMIX); LAST ONE LEFT FEAT. MISSY ELLIOTT & LIL GRAY (CHOPNOTSLOP REMIX); FOREVER YOURS (CHOPNOTSLOP REMIX); UPSET FEAT. TOMMY RICHMAN & FELIX! (CHOPNOTSLOP REMIX); ON THIS SIDE FEAT. A$AP ANT & CRUDDY MURDA (CHOPNOTSLOP REMIX); DAWGED EM SKIT FEAT. TTM DAWG (CHOPNOTSLOP REMIX); PISTACHIOS (CHOPNOTSLOP REMIX); WHEREVER I GO (CHOPNOTSLOP REMIX); OUTSIDE ALL NIGHT FEAT. A$AP ROCKY & N3WYRKLA (CHOPNOTSLOP REMIX); BIG MAD SKIT FEAT. FLEE & PRINCESS CRO (CHOPNOTSLOP REMIX); MOMENT OF YOUR LIFE FEAT. COCO JONES (CHOPNOTSLOP REMIX); BELONG TO YOU FEAT. BABYFACE RAY (CHOPNOTSLOP REMIX); WY@ (CHOPNOTSLOP REMIX); BEST TIME (CHOPNOTSLOP REMIX); Skyline (ChopNotSlop Remix); Been Away (ChopNotSlop Remix); Clouded (ChopNotSlop Remix); Let Me Know (ChopNotSlop Remix); Soon Az I Get Home (ChopNotSlop Remix); Fuck The World (Summer In London) (ChopNotSlop Remix); Lost Kids Get Money (ChopNotSlop Remix); Bluffin (ChopNotSlop Remix); Rehab (Winter In Paris) (ChopNotSlop Remix); Make It Out (ChopNotSlop Remix)
DJ Candlestick,Masego,1,Mystery Lady - ChopNotSlop Remix
DJ Candlestick,Offset,1,Had Enough (feat. Quavo & Offset) - CHOPNOTSLOP REMIX
DJ Candlestick,Don Toliver,21,Mystery Lady - ChopNotSlop Remix; Diva; Smooth Talker; Around Me (feat. Don Toliver) - ChoppedNotSlopped; I Can't Save You (Interlude) [with Future & feat. Don Toliver] - ChoppedNotSlopped; Too Many Nights (feat. Don Toliver & with Future) - ChoppedNotSlopped; Back End; Heaven or Hell - CHOPNOTSLOP REMIX; Euphoria (feat. Travis Scott & Kaash Paige) - CHOPNOTSLOP REMIX; No Idea - CHOPNOTSLOP REMIX; No Photos - CHOPNOTSLOP REMIX; Can't Feel My Legs - CHOPNOTSLOP REMIX; Cardigan - CHOPNOTSLOP REMIX; Spaceship (feat. Sheck Wes) - CHOPNOTSLOP REMIX; Company - CHOPNOTSLOP REMIX; Had Enough (feat. Quavo & Offset) - CHOPNOTSLOP REMIX; Wasted - CHOPNOTSLOP REMIX; After Party - CHOPNOTSLOP REMIX; Candy - CHOPNOTSLOP REMIX; Handle; Back End - ChopNotSlop Remix
DJ Candlestick,"Tyler, The Creator",1,GRAVITY (FEAT. TYLER THE CREATOR) (CHOPNOTSLOP REMIX)
DJ Candlestick,Young Thug,2,Metro Spider (with Young Thug) - ChoppedNotSlopped; Trance (with Travis Scott & Young Thug) - ChoppedNotSlopped
DJ Candlestick,Young Nudy,1,Umbrella (with 21 Savage & Young Nudy) - ChoppedNotSlopped
DJ Candlestick,ISO Supremacy,14,TIM'S INTRO (CHOPNOTSLOP REMIX); LAST ONE LEFT FEAT. MISSY ELLIOTT & LIL GRAY (CHOPNOTSLOP REMIX); FOREVER YOURS (CHOPNOTSLOP REMIX); UPSET FEAT. TOMMY RICHMAN & FELIX! (CHOPNOTSLOP REMIX); ON THIS SIDE FEAT. A$AP ANT & CRUDDY MURDA (CHOPNOTSLOP REMIX); DAWGED EM SKIT FEAT. TTM DAWG (CHOPNOTSLOP REMIX); PISTACHIOS (CHOPNOTSLOP REMIX); WHEREVER I GO (CHOPNOTSLOP REMIX); OUTSIDE ALL NIGHT FEAT. A$AP ROCKY & N3WYRKLA (CHOPNOTSLOP REMIX); BIG MAD SKIT FEAT. FLEE & PRINCESS CRO (CHOPNOTSLOP REMIX); MOMENT OF YOUR LIFE FEAT. COCO JONES (CHOPNOTSLOP REMIX); BELONG TO YOU FEAT. BABYFACE RAY (CHOPNOTSLOP REMIX); WY@ (CHOPNOTSLOP REMIX); BEST TIME (CHOPNOTSLOP REMIX)
Key Glock,Gucci Mane,9,"I Do This; Blood All on it (feat. Key Glock, Young Dolph); No Luv (feat. Big Scarr, Key Glock); No Luv (feat. Big Scarr, Key Glock); Glizock & Wizop (feat. Key Glock); Blood All on it (feat. Key Glock, Young Dolph); Lifers (feat. Key Glock, Foogiano & Ola Runt); Glizock & Wizop (feat. Key Glock); No Luv (feat. Big Scarr, Key Glock)"
Key Glock,HoodRich Pablo Juan,3,Ball Like A Bitch (feat. Key Glock); Balling Like a Bitch (feat. Key Glock); Dance (feat. NLE Choppa & Key Glock)
Key Glock,Rich The Kid,1,POP IT
Key Glock,Young Dolph,39,"Blu Boyz (feat. Snupe Bandz); Dance (feat. Snupe Bandz, Kenny Muney, Joddy Badass, Jay Fizzle & Big Moochie Grape); No Sense (feat. Key Glock); Green Light (feat. Key Glock); Blood All on it (feat. Key Glock, Young Dolph); Penguins; What u see is what u get; Aspen; Cheat Code; Case Closed; RAIN RAIN; Somethin' Else; Buddy Love; Sleep With The Roaches; Pot Of Gold; A Goat & A Dolphin; Dummest & the Dummest; Sleep With The Roaches; Thats How; Major (feat. Key Glock); Aspen; Major (feat. Key Glock); Baby Joker; Ill; If I Ever; 1 Hell of a Life; Blac Loccs; Back to Back; Baby Joker; Water on Water on Water; Reflection; Everybody Know; Cutthroat Committee; Dum & Dummer; No Sense (feat. Key Glock); Let's Go - Remix; Blood All on it (feat. Key Glock, Young Dolph); Blu Boyz (feat. Snupe Bandz); Case Closed"
Key Glock,Lil Durk,1,Wooh (feat. Key Glock)
Key Glock,Offset,2,Run It Up (feat. Key Glock); Run It Up (feat. Key Glock)
Key Glock,Big Scarr,4,"No Luv (feat. Big Scarr, Key Glock); No Luv (feat. Big Scarr, Key Glock); Toe Tag (feat. Key Glock); No Luv (feat. Big Scarr, Key Glock)"
Key Glock,PaperRoute Woo,6,Big Ol Racks; Playa Partner; Playaz Circle; Playaz Circle; Playa Partner; Playaz Circle
Key Glock,MadeinTYO,1,Stop Calling (feat. Key Glock & Tay Money)
Key Glock,Young Nudy,1,Pot Roast (feat. Key Glock)
Key Glock,Paper Route EMPIRE,11,"Blu Boyz (feat. Snupe Bandz); I Do This; Mister Glock 2; Bandaid; Dance (feat. Snupe Bandz, Kenny Muney, Joddy Badass, Jay Fizzle & Big Moochie Grape); Big Ol Racks; Broccoli & Cheese; Freeze Tag; Proud; Proud; Blu Boyz (feat. Snupe Bandz)"
Key Glock,SNUPE BANDZ,5,"Blu Boyz (feat. Snupe Bandz); Bandaid; Dance (feat. Snupe Bandz, Kenny Muney, Joddy Badass, Jay Fizzle & Big Moochie Grape); Go Hard; Blu Boyz (feat. Snupe Bandz)"
Quavo,Travis Scott,31,RERUN (feat. Travis Scott); Ring Ring; Ring Ring; Ring Ring - Extended Version; pick up the phone (feat. Quavo); Portland; Oh My Dis Side (feat. Quavo); Modern Slavery; Black & Chinese; Eye 2 Eye; Motorcycle Patches; Huncho Jack; Saint; Go; Dubai Shit; Saint Laurent Mask; Moon Rock; How U Feel; Where U From; Best Man; pick up the phone (feat. Quavo); Know No Better; Know No Better (Bad Bunny Remix); Know No Better (Afrojack Remix); Know No Better (Doobious Remix); Know No Better (SLANDER Remix); Know No Better (Laibert Remix); Know No Better (DJ Zinc Remix); Know No Better (La Fuente Remix); Know No Better (BROHUG Remix); Know No Better (SUPER CRUEL Remix)
Quavo,Mustard,7,"Want Her; Want Her; See Bout It (feat. Mustard); See Bout It (with Mustard); 100 Bands (feat. Quavo, 21 Savage, YG & Meek Mill); One of Them Ones - feat. Quavo & Rob49; 100 Bands (feat. Quavo, YG & Meek Mill)"
Quavo,Pop Smoke,11,Shake The Room (feat. Quavo); Aim For The Moon (feat. Quavo); Aim For The Moon (feat. Quavo); Snitching (feat. Quavo & Future); West Coast Shit (feat. Tyga & Quavo); Back Door (feat. Quavo & Kodak Black); Aim For The Moon (feat. Quavo); Snitching (feat. Quavo & Future); West Coast Shit (feat. Tyga & Quavo); Shake The Room (feat. Quavo); Back Door (feat. Quavo & Kodak Black)
Quavo,Metro Boomin,9,Butterflies (Right Now); Take Me Thru Dere; Drip BBQ; Overly Trimm; Rap Saved Me (feat. Quavo); Butterflies (Right Now); Take Me Thru Dere; Drip BBQ; Overly Trimm
Quavo,Gucci Mane,19,Us vs. Them (feat. Gucci Mane); Sno Cone (feat. Quavo & Gucci Mane) - Instrumental; First Impression (feat. Quavo & Yung Miami); Sno Cone (feat. Quavo & Gucci Mane); Came From Scratch (feat. Quavo); Make Yo Move (feat. Quavo); Skirt; Serve On (feat. Peewee Longway & Quavo); BiPolar (feat. Quavo); Lost Y'all Mind (feat. Quavo); Sno Cone (feat. Quavo & Gucci Mane); Saran Wrap (feat. Quavo); Tony (feat. Quavo); Slide (feat. Quavo); No Way (feat. Quavo); Us vs. Them (feat Gucci Mane); Bacc At It Again; No Way (feat. Quavo); BiPolar (feat. Quavo)
Quavo,Future,6,Snitching (feat. Quavo & Future); Snitching (feat. Quavo & Future); Turn Yo Clic Up (feat. Future); Congratulations - Remix; Turn Yo Clic Up (feat. Future); Back Where It Begins (feat. Future and Takeoff)
Quavo,21 Savage,3,"PASS OUT (feat. 21 Savage); Rap Saved Me (feat. Quavo); 2 Seater [Feat. 21 Savage, Quavo]"
Quavo,HoodRich Pablo Juan,3,Designer Drugz; Silly Rabit; Dope On My Margiela
Quavo,Rich The Kid,5,That's Tuff (feat. Quavo); Keep It Exclusive; Real One (feat. Rich The Kid); Lost It (feat. Quavo & Offset); Too Blessed
Quavo,Meek Mill,7,"The Difference (feat. Quavo); Ball Player (feat. Quavo); Double Trouble (Quavo feat. Meek Mill); Double Trouble (Quavo feat. Meek Mill); 100 Bands (feat. Quavo, 21 Savage, YG & Meek Mill); Ball Player (feat. Quavo); 100 Bands (feat. Quavo, YG & Meek Mill)"
Quavo,Gunna,1,Chocolate (feat. Young Thug and Gunna)
Quavo,Tory Lanez,2,Broke Leg (with Quavo & Tyga); Broke Leg (with Quavo & Tyga)
Quavo,Young Dolph,1,In My Feelings (feat. Quavo & Young Dolph)
Quavo,Drake,2,FLIP THE SWITCH (feat. Drake); Portland
Quavo,Lil Durk,1,Homie Bitch
Quavo,Yeat,2,New Trip (feat. Yeat & BNYX®); 5BRAZY (FEAT. QUAVO)
Quavo,Moneybagg Yo,4,Pleading The Fifth (feat. Quavo); Days 'n Nights; My Dawg; Bagg Move (feat. Quavo)
Quavo,Kodak Black,3,Back Door (feat. Quavo & Kodak Black); Back Door (feat. Quavo & Kodak Black); My Dawg
Quavo,Offset,14,"FUCK 12 (feat. Offset); On Fleek (feat. Quavo); Had Enough (feat. Quavo & Offset); Quarterback (feat. Quavo, Offset & PeeWee Longway); Quarterback (feat. Quavo, Offset & PeeWee Longway); Ibang; Lost It (feat. Quavo & Offset); Intro; Menace; Dubai Shit; Rap Saved Me (feat. Quavo); Guwop (feat. Quavo, Offset and Young Scooter); Had Enough (feat. Quavo & Offset) - CHOPNOTSLOP REMIX; HAD ENOUGH (feat. Quavo & Offset)"
Quavo,Don Toliver,6,Ring Ring; Ring Ring; Ring Ring - Extended Version; Had Enough (feat. Quavo & Offset); Had Enough (feat. Quavo & Offset) - CHOPNOTSLOP REMIX; HAD ENOUGH (feat. Quavo & Offset)
Quavo,DaBaby,2,PICK UP (feat. Quavo); PICK UP (feat. Quavo)
Quavo,Young Thug,16,"F Cancer (Boosie) [feat. Quavo]; Circle Of Bosses (feat. Quavo); Spider or Jeffery (feat. Quavo); pick up the phone (feat. Quavo); Quarterback (feat. Quavo, Offset & PeeWee Longway); Spider or Jeffery (feat. Quavo); Quarterback (feat. Quavo, Offset & PeeWee Longway); Spider or Jeffery (feat. Quavo); F Cancer (Boosie) [feat. Quavo]; Chocolate (feat. Young Thug and Gunna); pick up the phone (feat. Quavo); Minnesota; Guwop (feat. Quavo, Offset and Young Scooter); Circle Of Bosses (feat. Quavo); You Said (feat. Quavo); Focused (feat. Young Thug)"
Quavo,Lil Baby,3,LOSE IT (feat. Lil Baby); Legends (with Lil Baby); My Dawg
Quavo,Tee Grizzley,2,1 Night (feat. Quavo); In My Feelings (feat. Quavo & Young Dolph)
Quavo,Kap G,1,Girlfriend (feat. Ty Dolla $ign & Quavo) - Remix
Quavo,Huncho Jack,13,Modern Slavery; Black & Chinese; Eye 2 Eye; Motorcycle Patches; Huncho Jack; Saint; Go; Dubai Shit; Saint Laurent Mask; Moon Rock; How U Feel; Where U From; Best Man
Quavo,Quality Control,13,"Pastor (Quavo, City Girls feat. Megan Thee Stallion); Double Trouble (Quavo feat. Meek Mill); Virgil; Intro; Ice Tray; Hellcat; Menace; My Dawg; South Africa; Holiday; She For Keeps; Blow Like A Whistle; Double Trouble (Quavo feat. Meek Mill)"
Quavo,Lil Yachty,7,Intro; Ice Tray; Menace; Holiday; Homie Bitch; Minnesota; TALK TO ME NICE
Quavo,Migos,4,Get It Up; Strub Tha Ground (Feat. Yung Miami); Ibang; Coolin'
Quavo,NAV,2,Chirp (feat. Quavo); Faith (feat. Quavo)
Freddie Gibbs,The Alchemist,40,"Till The Angels Come (feat. Freddie Gibbs & Prodigy); Location Remote; The Blow; New Thangs; Saturday Night Special; Now & Later Gators; No Window Tints; Willie Lloyd; Tapatio; Bundy & Sincere; Fake Flowers; Scottie Pippens (feat. Freddie Gibbs); 1995; 1995; Mar-a-Lago; Lemon Pepper Steppers; Ensalada (feat. Anderson .Paak); Empanadas; Skinny Suge II; Feeling (feat. Larry June); I Still Love H.E.R.; Shangri La; Gas Station Sushi; Lavish Habits; Gold Feet (feat. J.I.D.); Jean Claude; A Thousand Mountains; S.N.O.R.T.; 1985; S.N.O.R.T. (feat. Freddie Gibbs); 1985; God Is Perfect; Scottie Beam; Look At Me; Frank Lucas (feat. Benny the Butcher); Something to Rap About (feat. Tyler, The Creator); Baby $hit; Babies & Fools (feat. Conway the Machine); Skinny Suge; All Glass"
Freddie Gibbs,Gucci Mane,1,10 Times (feat. Gucci Mane & E-40)
Freddie Gibbs,Tory Lanez,1,Mexico (feat. Tory Lanez)
Freddie Gibbs,Earl Sweatshirt,5,"Robes (Alex Goose Remix); Robes (feat. Domo Genesis, Earl Sweatshirt); Robes (Alex Goose Instrumental Remix); Robes; Robes (Alex Goose Remix)"
Freddie Gibbs,Moneybagg Yo,3,Too Much (feat. Moneybagg Yo); Too Much (feat. Moneybagg Yo); Too Much (feat. Moneybagg Yo)
Freddie Gibbs,Masego,1,Off Road
Freddie Gibbs,Offset,2,Pain & Strife (feat. Offset); Pain & Strife (feat. Offset)
Freddie Gibbs,"Tyler, The Creator",1,"Something to Rap About (feat. Tyler, The Creator)"
Freddie Gibbs,Young Thug,1,Old English
Travis Scott,Mustard,12,Whole Lotta Lovin' - With You Remix; Whole Lotta Lovin' - Grandtheft Remix; Whole Lotta Lovin' - Grandtheft Radio Edit Remix; Whole Lotta Lovin' - Grandtheft Remix; Dangerous World (feat. Travis Scott & YG); Whole Lotta Lovin' - LeMarquis Remix; Whole Lotta Lovin'; Whole Lotta Lovin' - Le Boeuf Remix; Whole Lotta Lovin' - Bad Royale Remix; Whole Lotta Lovin' - Djemba Djemba Remix; Parking Lot; Parking Lot
Travis Scott,Pop Smoke,1,GATTI
Travis Scott,Metro Boomin,31,"née-nah - slowed down; Blue Pill; née-nah; Raindrops (Insane) [with Travis Scott]; Trance (with Travis Scott & Young Thug); Niagara Falls (Foot or 2) [with Travis Scott & 21 Savage]; Lock On Me (with Travis Scott & Future); née-nah; Raindrops (Insane) [with Travis Scott] - ChoppedNotSlopped; Trance (with Travis Scott & Young Thug) - ChoppedNotSlopped; Niagara Falls (Foot or 2) [with Travis Scott & 21 Savage] - ChoppedNotSlopped; Lock On Me (with Travis Scott & Future) - ChoppedNotSlopped; Raindrops (Insane) [with Travis Scott]; Trance (with Travis Scott & Young Thug); Niagara Falls (Foot or 2) [with Travis Scott & 21 Savage]; Lock On Me (with Travis Scott & Future); Type Shit; Cinderella; Raindrops (Insane) [with Travis Scott]; Trance (with Travis Scott & Young Thug); Niagara Falls (Foot or 2) [with Travis Scott & 21 Savage]; Lock On Me (with Travis Scott & Future); née-nah - nightcore version; Ghostface Killers (feat. Travis Scott); née-nah - sped up; Overdue (with Travis Scott); Dreamcatcher (feat. Swae Lee & Travis Scott); Up To Something (feat. Travis Scott & Young Thug); Only 1 (Interlude) (with Travis Scott); No More (feat. Travis Scott, Kodak Black & 21 Savage); Go Legend (& Metro Boomin)"
Travis Scott,Gucci Mane,3,"Last Time (feat. Travis Scott); Floyd Mayweather (feat. Travis Scott, Gucci Mane and Gunna); Last Time (feat. Travis Scott)"
Travis Scott,Future,17,"TELEKINESIS (feat. SZA & Future); SOUTH OF FRANCE - REMIX; FRANCHISE (feat. Future, Young Thug & M.I.A.) - REMIX; WHERE WAS YOU; Lock On Me (with Travis Scott & Future); CHARGE DEM HOES A FEE (with Future & Travis Scott); Solitaires (feat. Travis Scott); Lock On Me (with Travis Scott & Future) - ChoppedNotSlopped; Lock On Me (with Travis Scott & Future); Type Shit; Cinderella; Lock On Me (with Travis Scott & Future); 3500 (feat. Future & 2 Chainz); SOUTH OF FRANCE - REMIX; First Off (feat. Travis Scott); CHARGE DEM HOES A FEE (with Future & Travis Scott); Hold That Heat (feat. Travis Scott)"
Travis Scott,21 Savage,17,"née-nah - slowed down; TOPIA TWINS (feat. Rob49 & 21 Savage); TIL FURTHER NOTICE (feat. James Blake & 21 Savage); Legacy (feat. Travis Scott & 21 Savage); née-nah; Niagara Falls (Foot or 2) [with Travis Scott & 21 Savage]; née-nah; Pussy & Millions (feat. Travis Scott); Niagara Falls (Foot or 2) [with Travis Scott & 21 Savage] - ChoppedNotSlopped; Niagara Falls (Foot or 2) [with Travis Scott & 21 Savage]; Wit Da Racks (feat. 21 Savage, Travis Scott & Yak Gotti); Niagara Falls (Foot or 2) [with Travis Scott & 21 Savage]; Wit Da Racks (feat. 21 Savage, Travis Scott & Yak Gotti); née-nah - nightcore version; Ghostface Killers (feat. Travis Scott); née-nah - sped up; No More (feat. Travis Scott, Kodak Black & 21 Savage)"
